ID_Client,Nom,Prénom,Age,Sexe,Type_Compte,Solde_Compte,Statut_Client,Montant_Dernière_Transaction,Nombre_Transactions_Annuelles,Date_Ouverture_Compte,Date_Dernière_Transaction,Crédit_Score,Revenu_Annuel,Emploi,Adresse,Numéro_Téléphone,Email,Succursale,Prêt_En_Cours
62414,Johnson,Julie,32,Femme,Investissement,84364.62,Inactif,8760.87,41,2023-08-24,2023-10-30,824,136931.45,Community arts worker,"0509 Andrew Isle
Lake Jamieshire, NM 00882",1504321016,pbush@leonard.com,Watersland,Non
48216,Pacheco,George,58,Femme,Courant,55608.61,Suspendu,298.93,24,2018-12-12,2023-06-29,659,30549.53,Radio producer,"40592 Craig Lake Apt. 619
New Andrew, MS 02353",(280)412-5133x7554,nholland@burnett-johnson.biz,New Karenfort,Non
76554,Lynch,Amy,24,Femme,Courant,4647.84,Inactif,8339.53,70,2023-08-26,2023-10-05,495,136812.48,Speech and language therapist,"6229 Andrew Coves Suite 808
Port Daniellehaven, SD 42174",+1-241-603-4894,staylor@gmail.com,Jimenezstad,Non
66440,Griffin,James,39,Homme,Courant,967.49,Suspendu,9577.1,16,2023-02-09,2023-10-08,400,194735.03,Plant breeder/geneticist,"58178 Daniel Corner
New Cody, AZ 78194",(145)434-2793,michaelmcdonald@brown-martinez.com,Oliviaside,Non
97868,Anderson,Thomas,51,Homme,Courant,37660.81,Suspendu,6030.95,25,2021-01-23,2023-11-12,688,111352.95,Television production assistant,"334 Bryant Dam
North Yvetteton, RI 29185",933-346-9466x2342,trevinomason@yahoo.com,Port Sheri,Oui
63018,Spence,Gene,44,Femme,Courant,33321.84,Suspendu,5844.09,11,2014-07-26,2023-08-30,379,75405.69,Electrical engineer,"49695 Davis Extension
Dianeview, DE 55550",(484)614-3993x18216,mackenziedunlap@gmail.com,Port Kyle,Oui
49458,Williams,Kimberly,79,Homme,Courant,51441.06,Inactif,2111.44,61,2021-11-09,2023-12-31,686,70197.38,Early years teacher,"05087 Clay Isle Apt. 134
Laurenport, IL 94125",(003)448-0754,melanieyoung@short.biz,Yoderfort,Non
97875,Adams,Jill,24,Femme,Épargne,60678.21,Suspendu,3687.95,57,2023-03-27,2023-07-26,453,159801.73,Acupuncturist,"01580 Reyes Manors Suite 605
Rodriguezfurt, ID 66658",544-864-6640,conwayvicki@goodman-murphy.com,Dennisville,Non
49604,Reed,Michelle,43,Femme,Courant,94831.66,Inactif,441.89,74,2021-08-01,2023-08-31,499,196604.37,"Engineer, technical sales","6465 Barnett Station
Nicholasmouth, NC 51381",001-578-807-7605x231,amanda93@yahoo.com,Jamesshire,Oui
12252,Taylor,David,36,Homme,Courant,66331.14,Suspendu,8352.09,100,2015-12-06,2023-06-24,316,112302.7,"Editor, film/video","Unit 5243 Box 9583
DPO AA 35585",001-614-542-5603x1111,christine05@taylor-ferguson.com,East Ryanton,Non
